idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
1,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Rostro,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
2,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Cuello,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
3,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
4,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Axilas,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
5,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Pecho,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
6,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
7,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Brazos,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
8,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Espalda,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
9,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
10,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Hombros,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
11,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Vitiligo - 1 sesion - 5 min,LASER EXCILITE,Manos,Vitiligo,-1,1 sesion,5 min,500,300,240,,,
