idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
1,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Rosacea - 1 sesion - 30 min,LASER M22 IPL,Rostro,Rosacea,-1,1 sesion,30 min,1200,1000,800,,,
2,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Manchas - 1 sesion - 30 min,LASER M22 IPL,Rostro,Manchas,-1,1 sesion,30 min,1200,1000,800,,,
3,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Varices - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Varices,-1,1 sesion,15 min,800,600,480,,,
4,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Rostro - Telangectacias - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Rostro,Telangectacias,-1,1 sesion,15 min,800,600,480,,,
5,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Telangectacias - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Telangectacias,-1,1 sesion,15 min,800,600,480,,,
6,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Rostro - Puntos Rubi - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Rostro,Puntos Rubi,-1,1 sesion,15 min,800,600,480,,,
7,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Puntos Rubi - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Puntos Rubi,-1,1 sesion,15 min,800,600,480,,,
8,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Rostro - Hemangiomas - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Rostro,Hemangiomas,-1,1 sesion,15 min,800,600,480,,,
9,service,laser,m22,,, - ,LASER M22 ND YAG - Localizado Cuerpo - Hemangiomas - 1 sesion - 15 min,LASER M22 ND YAG,Localizado Cuerpo,Hemangiomas,-1,1 sesion,15 min,800,600,480,,,
10,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Acné Activo - 1 sesion - 30 min,LASER M22 IPL,Rostro,Acné Activo,-1,1 sesion,30 min,1200,1000,800,,,
11,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Rejuvenecimiento - 1 sesion - 30 min,LASER M22 IPL,Rostro,Rejuvenecimiento,-1,1 sesion,30 min,1200,1000,800,,,
12,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Depilacion - 1 sesion - 5 min,LASER M22 IPL,Rostro,Depilacion,-1,1 sesion,5 min,500,300,240,,,
13,service,laser,m22,,, - ,LASER M22 IPL - Cuello - Depilacion - 1 sesion - 5 min,LASER M22 IPL,Cuello,Depilacion,-1,1 sesion,5 min,500,300,240,,,
14,service,laser,m22,,, - ,LASER M22 IPL - Ariolas - Depilacion - 1 sesion - 5 min,LASER M22 IPL,Ariolas,Depilacion,-1,1 sesion,5 min,500,300,240,,,
15,service,laser,m22,,, - ,LASER M22 IPL - Axilas - Depilacion - 1 sesion - 5 min,LASER M22 IPL,Axilas,Depilacion,-1,1 sesion,5 min,500,300,240,,,
16,service,laser,m22,,, - ,LASER M22 IPL - Pecho - Depilacion - 1 sesion - 5 min,LASER M22 IPL,Pecho,Depilacion,-1,1 sesion,5 min,500,300,240,,,
