x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,,5500.00,4000.00,3200,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,,6500,5000,4000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,,7500,6000,4800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 1,1 sesion,,5500,4000,3200,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 2,1 sesion,,6500,5000,4000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Acne y Secuelas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Acne y Secuelas,Grado 3,1 sesion,,7500,6000,4800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 1,1 sesion,,5500,4000,3200,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 2,1 sesion,,6500,5000,4000,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Todo Rostro - Manchas - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Todo Rostro,Manchas,Grado 3,1 sesion,,7500,6000,4800,,,
service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Pomulos - Acne y Secuelas - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Pomulos,Acne y Secuelas,Grado 1,1 sesion,,3500,2500,2000,,,
