x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL,Todo Rostro + Cuello,Rejuvenecimiento ,,1 sesion,,"9,000","5,500","4,400",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL,Todo Rostro + Manos,Rejuvenecimiento ,,1 sesion,,"9,000","5,500","4,400",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL,Todo Rostro + Manos + Cuello,Rejuvenecimiento ,,1 sesion,,"12,500","7,000","5,600",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + BOTOX,Todo Rostro ,Rejuvenecimiento ,,1 sesion,,"8,800","5,900","4,720",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + ACIDO HIALURONICO (TEOSYAL DEEP LINES),Todo Rostro ,Rejuvenecimiento ,,1 sesion,,"8,200","5,600","4,480",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + BOTOX + ACIDO HIALURONICO (TEOSYAL DEEP LINES),Todo Rostro ,Rejuvenecimiento ,,1 sesion,,"11,500","7,500","6,000",,,
service,promotion,promotion,,, - ,,QUICKLASER + BOTOX,Todo Rostro ,Rejuvenecimiento ,,1 sesion,,"8,300","5,400","4,320",,,
service,promotion,promotion,,, - ,,QUICKLASER + ACIDO HIALURONICO (TEOSYAL DEEP LINES),Todo Rostro ,Rejuvenecimiento ,,1 sesion,,"7,700","5,100","4,080",,,
service,promotion,promotion,,, - ,,QUICKLASER + BOTOX + ACIDO HIALURONICO (TEOSYAL DEEP LINES),Todo Rostro ,Rejuvenecimiento ,,1 sesion,,"11,000","7,000","5,600",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + NCTF 3 Sesiones,Todo Rostro ,Rejuvenecimiento Facial,,1 sesion,,"9,500","6,000","4,800",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + NCTF 5 Sesiones,Todo Rostro ,Rejuvenecimiento Facial,,1 sesion,,"10,000","6,500","5,200",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + NCTF 3 Sesiones,Todo Rostro ,Acne y Secuelas,,1 sesion,,"9,500","6,000","4,800",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + NCTF 5 Sesiones,Todo Rostro ,Acne y Secuelas,,1 sesion,,"10,000","6,500","5,200",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + QUICKLASER,Todo Rostro,Rejuvenecimiento Facial Grado 1,,1 sesion,,"10,500","7,000","5,600",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + QUICKLASER,Todo Rostro,Rejuvenecimiento Facial Grado 2,,1 sesion,,"12,500","7,500","6,000",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + QUICKLASER,Todo Rostro,Rejuvenecimiento Facial Grado 3,,1 sesion,,"14,000","8,000","6,400",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + QUICKLASER,Todo Rostro,Acne y Secuelas Grado 1,,1 sesion,,"10,500","7,000","5,600",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + QUICKLASER,Todo Rostro,Acne y Secuelas Grado 2,,1 sesion,,"12,500","7,500","6,000",,,
service,promotion,promotion,,, - ,,LASER CO2 FRACCIONAL + QUICKLASER,Todo Rostro,Acne y Secuelas Grado 3,,1 sesion,,"14,000","8,000","6,400",,,
service,promotion,promotion,,, - ,,CRIOCIRUGIA,Todo Rostro,Acne,,10 sesiones,,"3,000","2,500","2,000",,,
service,promotion,promotion,,, - ,,LASER TRIACTIVE + CARBOXITERAPIA,"Rostro, Papada y Cuello",Reafirmacion ,,10 Sesiones,,"3,000","1,700","1,360",,,
service,promotion,promotion,,, - ,,PUNTA DE DIAMANTES,Todo Rostro,Limpieza facial profunda,,6 sesiones,,"1,200",900,720,,,
service,promotion,promotion,,, - ,,CARBOXITERAPIA,Localizado Rostro,Rejuvenecimiento Facial,,6 sesiones,,"1,200",900,720,,,
service,promotion,promotion,,, - ,,CARBOXITERAPIA,Localizado Cuerpo,Rejuvenecimiento Facial,,6 sesiones,,"1,200",900,720,,,
