x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
service,laser,quick,,1, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 1,1 sesion,,5000,3500,5200,,1500,6500
service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 2,1 sesion,,6000,4500,5600,,1250,7000
service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Rejuvenecimiento,Grado 3,1 sesion,,6500,5000,6000,,1250,7500
service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 1,1 sesion,,5000,3500,5200,,1500,6500
service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 2,1 sesion,,6000,4500,5600,,1250,7000
service,laser,quick,,, - ,QUICKLASER - Todo Rostro - Manchas - Grado 3 - 1 sesion,QUICKLASER,Todo Rostro,Manchas,Grado 3,1 sesion,,6500,5000,6000,,1250,7500
service,laser,quick,,, - ,QUICKLASER - Pomulos - Manchas - Grado 1 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 1,1 sesion,,3500,2500,3600,,1000,4500
service,laser,quick,,, - ,QUICKLASER - Pomulos - Manchas - Grado 2 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 2,1 sesion,,4000,3000,4000,,1000,5000
service,laser,quick,,, - ,QUICKLASER - Pomulos - Manchas - Grado 3 - 1 sesion,QUICKLASER,Pomulos,Manchas,Grado 3,1 sesion,,4500,3500,4400,,1000,5500
service,laser,quick,,, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 1,1 sesion,,3500,2500,3600,,1000,4500
service,laser,quick,,, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 2,1 sesion,,4000,3000,4000,,1000,5000
service,laser,quick,,, - ,QUICKLASER - Cuello - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Cuello,Rejuvenecimiento,Grado 3,1 sesion,,4500,3500,4400,,1000,5500
service,laser,quick,,, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 1 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 1,1 sesion,,3500,2500,3600,,1000,4500
service,laser,quick,,, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 2 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 2,1 sesion,,4000,3000,4000,,1000,5000
service,laser,quick,,, - ,QUICKLASER - Manos - Rejuvenecimiento - Grado 3 - 1 sesion,QUICKLASER,Manos,Rejuvenecimiento,Grado 3,1 sesion,,4500,3500,4400,,1000,5500
service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 1 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 1,1 sesion,,1000,500,1200,,500,1500
service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 2 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 2,1 sesion,,1500,1000,2400,,1000,3000
service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Manchas - Grado 3 - 1 sesion,QUICKLASER,Localizado Rostro,Manchas,Grado 3,1 sesion,,2000,1500,3600,,1500,4500
service,laser,quick,,, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 1 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 1,1 sesion,,2000,1500,3600,,1500,4500
service,laser,quick,,, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 2 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 2,1 sesion,,2500,2000,4800,,2000,6000
service,laser,quick,,, - ,QUICKLASER - Localizado Cuerpo - Manchas - Grado 3 - 1 sesion,QUICKLASER,Localizado Cuerpo,Manchas,Grado 3,1 sesion,,3000,2500,6000,,2500,7500
service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 2 min,QUICKLASER,Localizado Rostro,Tatuaje,,1 sesion,2 min,1000,500,400,0,,
service,laser,quick,,, - ,QUICKLASER - Localizado Rostro - Tatuaje - 1 sesion - 5 min,QUICKLASER,Localizado Rostro,Tatuaje,,1 sesion,5 min,2000,1000,800,0,,
